species,binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,diel
Rhinichthys_atratulus,Rhinichthys atratulus,Chordata,Teleostei,Cypriniformes,Leuciscidae,Rhinichthys,Blacknose dace,NA,NA,NA,NA,365,365,4,48,NA,NA,acceptable,NA,48,NA,NA,NA,48,NA
Rhinichthys_cataractae,Rhinichthys cataractae,Chordata,Teleostei,Cypriniformes,Leuciscidae,Rhinichthys,Longnose dace,NA,NA,NA,NA,1095,1095,5,60,NA,NA,acceptable,NA,60,NA,NA,NA,60,NA
Rhinichthys_cobitis,Rhinichthys cobitis,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rhinichthys,Loach minnow,NA,NA,NA,NA,NA,NA,5,60,NA,NA,acceptable,NA,60,NA,NA,NA,60,NA
Rhinobatos_horkelii,Rhinobatos horkelii,Chordata,Chondrichthyes,Rhinobatiformes,Rhinobatidae,Rhinobatos,Brazilian guitarfish,NA,NA,NA,NA,2372,NA,28,336,NA,NA,acceptable,NA,336,NA,NA,NA,336,NA
Rhinobatos_productus,Rhinobatos productus,Chordata,Chondrichthyes,Rhinobatiformes,Rhinobatidae,Rhinobatos,Shovelnose guitarfish,NA,NA,NA,NA,2555,2920,16,192,NA,NA,acceptable,5362.5,192,NA,NA,NA,192,NA
Rhinoceros_unicornis,Rhinoceros unicornis,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Indian rhinoceros,1843655.8,NA,588,2069.22,1678,2557,43.5,522,NA,NA,acceptable,1602330,522,NA,NA,NA,555,NA
Rhinocheilus_lecontei,Rhinocheilus lecontei,Chordata,Reptilia,Squamata,Colubridae,Rhinocheilus,"Long-nosed snake, or Western long-nosed snake",NA,NA,NA,NA,NA,NA,19.8,237.6,NA,NA,acceptable,432,237.6,NA,NA,NA,237.6,NOC
Rhinoclemmys_areolata,Rhinoclemmys areolata,Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Furrowed wood turtle,NA,NA,NA,NA,NA,NA,19.3,231.6,NA,NA,acceptable,731.5,231.6,NA,NA,NA,231.6,NA
Rhinoclemmys_pulcherrima,Rhinoclemmys pulcherrima,Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Painted wood turtle,NA,NA,NA,NA,NA,NA,20.4,244.8,NA,NA,acceptable,NA,244.8,NA,NA,NA,244.8,NA
Rhinoclemmys_rubida,Rhinoclemmys rubida,Chordata,Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Mexican spotted wood turtle,NA,NA,NA,NA,NA,NA,11.8,141.6,NA,NA,acceptable,NA,141.6,NA,NA,NA,141.6,NA
Rhinolophus_ferrumequinum,Rhinolophus ferrumequinum,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Greater horseshoe bat,22.59,NA,360,827.69,730,730,30.5,366,NA,NA,acceptable,22.875,366,NA,NA,NA,363,NA
Rhinolophus_hipposideros,Rhinolophus hipposideros,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Lesser horseshoe bat,4.57,NA,252,447.26,500,471,29.4,352.8,NA,NA,acceptable,4.6,352.8,7.15,NA,0.235,302.4,NA
